,price_eur_mwh
2024-01-01 00:00:00+01:00,104.09706851486085
2024-01-01 00:15:00+01:00,101.9918222787701
2024-01-01 00:30:00+01:00,102.06240037088831
2024-01-01 00:45:00+01:00,102.24051485874314
2024-01-01 01:00:00+01:00,98.48640249230196
2024-01-01 01:15:00+01:00,101.05337660661156
2024-01-01 01:30:00+01:00,106.44875841755609
2024-01-01 01:45:00+01:00,107.78821126589156
2024-01-01 02:00:00+01:00,108.36896377086187
2024-01-01 02:15:00+01:00,113.15727057590968
2024-01-01 02:30:00+01:00,114.54821971048801
2024-01-01 02:45:00+01:00,117.62878191383642
2024-01-01 03:00:00+01:00,122.00377752650257
2024-01-01 03:15:00+01:00,106.6976499196232
2024-01-01 03:30:00+01:00,95.59875726798955
2024-01-01 03:45:00+01:00,85.69670584198472
2024-01-01 04:00:00+01:00,73.5782577623417
2024-01-01 04:15:00+01:00,90.45417185769668
2024-01-01 04:30:00+01:00,103.91140327016701
2024-01-01 04:45:00+01:00,118.10653114510309
2024-01-01 05:00:00+01:00,138.9686427143611
2024-01-01 05:15:00+01:00,119.27396065700921
2024-01-01 05:30:00+01:00,103.48408194290664
2024-01-01 05:45:00+01:00,85.21846681939721
2024-01-01 06:00:00+01:00,70.20158866692073
2024-01-01 06:15:00+01:00,81.04922589261058
2024-01-01 06:30:00+01:00,89.4776746774825
2024-01-01 06:45:00+01:00,101.75490201521697
2024-01-01 07:00:00+01:00,110.31677566877272
2024-01-01 07:15:00+01:00,118.27833627989648
2024-01-01 07:30:00+01:00,125.13681168720449
2024-01-01 07:45:00+01:00,137.47121013306062
2024-01-01 08:00:00+01:00,141.20475262134374
2024-01-01 08:15:00+01:00,125.40138298083832
2024-01-01 08:30:00+01:00,115.01449502820755
2024-01-01 08:45:00+01:00,97.9747619985902
2024-01-01 09:00:00+01:00,86.26150585678106
2024-01-01 09:15:00+01:00,74.55850594562804
2024-01-01 09:30:00+01:00,66.29337035328285
2024-01-01 09:45:00+01:00,58.63804606206888
2024-01-01 10:00:00+01:00,49.83582126404033
2024-01-01 10:15:00+01:00,52.45711276624675
2024-01-01 10:30:00+01:00,55.2593682887333
2024-01-01 10:45:00+01:00,58.12445963237485
2024-01-01 11:00:00+01:00,60.05876806060046
2024-01-01 11:15:00+01:00,72.31090772957546
